org_profile_link,count_person,avg_word_length,median_word_length
/company/grant-thornton-llp?trk=ppro_cprof,3598,135.27682045580877,109
/company/ch2m-hill?trk=ppro_cprof,3593,143.94155301976065,119
/company/siemens-healthcare?trk=ppro_cprof,3580,130.4709497206704,105
/company/george-washington-university?trk=ppro_cprof,3578,144.82643935159308,115
/company/halliburton?trk=ppro_cprof,3572,135.09686450167973,108
/company/sears-roebuck-and-co.?trk=ppro_cprof,3559,125.95785332958697,100
/company/university-of-north-carolina-at-chapel-hill?trk=ppro_cprof,3558,136.21388420460934,105
/company/unitedhealthcare?trk=ppro_cprof,3548,127.64289740698986,101
/company/spherion?trk=ppro_cprof,3531,132.7666383460776,107
/company/virginia-tech?trk=ppro_cprof,3526,130.40555870674987,103
/company/gap-inc.-old-navy?trk=ppro_cprof,3526,115.39761769710721,92
/company/lehman-brothers?trk=ppro_cprof,3520,136.04829545454547,105
/company/applied-materials?trk=ppro_cprof,3516,134.41154721274177,106
/company/general-dynamics-information-technology?trk=ppro_cprof,3502,136.52569960022845,112
/company/university-of-georgia?trk=ppro_cprof,3477,131.35030198446938,103
/company/ikon-office-solutions?trk=ppro_cprof,3461,129.18838485986709,105
/company/ebay?trk=ppro_cprof,3439,143.28205873800525,114
/company/indiana-university?trk=ppro_cprof,3428,134.29375729288213,107
/company/kbr-inc?trk=ppro_cprof,3428,142.39060676779462,115
/company/electronic-arts?trk=ppro_cprof,3418,141.2729666471621,114
/company/nokia?trk=ppro_cprof,3408,142.418720657277,115
/company/gepowerandwater?trk=ppro_cprof,3384,129.09663120567376,105
/company/national-institutes-of-health?trk=ppro_cprof,3381,141.20763087843832,113
/company/fannie-mae-corporation_19722?trk=ppro_cprof,3371,138.42361317116584,110
/company/gamestop?trk=ppro_cprof,3360,121.68988095238095,97
/company/rr-donnelley?trk=ppro_cprof,3348,129.01433691756273,102
/company/northeastern-university?trk=ppro_cprof,3325,132.8390977443609,106
/company/baker-hughes?trk=ppro_cprof,3324,128.38898916967509,105
/company/usaa?trk=ppro_cprof,3321,129.8705209274315,103
/company/university-of-cincinnati?trk=ppro_cprof,3311,136.83992751434613,108
/company/thermo-fisher-scientific?trk=ppro_cprof,3290,127.28601823708206,104
/company/dhl?trk=ppro_cprof,3266,127.57287201469688,101
/company/university-of-central-florida?trk=ppro_cprof,3263,137.9601593625498,111
/company/wipro-technologies?trk=ppro_cprof,3225,165.9001550387597,140
/company/mcgladrey?trk=ppro_cprof,3224,132.4053970223325,107
/company/internal-revenue-service?trk=ppro_cprof,3224,136.00465260545906,106
/company/us-department-of-homeland-security?trk=ppro_cprof,3207,149.46460866853758,119
/company/bb&t?trk=ppro_cprof,3205,123.12106084243369,99
/company/ntt-data?trk=ppro_cprof,3192,145.64567669172934,118
/company/harris-corporation?trk=ppro_cprof,3184,136.09924623115577,109
/company/temple-university?trk=ppro_cprof,3183,137.933081998115,109
/company/national-city-bank?trk=ppro_cprof,3169,120.83780372357211,97
/company/jones-lang-lasalle?trk=ppro_cprof,3161,134.64062005694402,108
/company/boy-scouts-of-america?trk=ppro_cprof,3159,131.70591959480848,106
/company/covidien_2?trk=ppro_cprof,3149,124.63988567799301,101
/company/duke-university?trk=ppro_cprof,3149,134.91235312797713,107
/company/honeywell-aerospace?trk=ppro_cprof,3147,136.8512869399428,111
/company/bath-&-body-works?trk=ppro_cprof,3144,114.7410941475827,92
/company/agilent-technologies?trk=ppro_cprof,3142,134.96912794398472,107
